Podniky
1.   GASTRODOM SPIŠ s.r.o.
2.   MEPOS SNV s.r.o.
3.   JD Cleaning, s. r. o.
4.   LABORE n.o.
5.   JS ENGINEERING s. r. o.
6.   Sociálny podnik Služby Kalná s.r.o.
7.   Wasco - družstvo
8.   Abalstav spol. s r.o.
9.   ZEDKO, s.r.o.
10.   MH ASIST s. r. o.
